Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,OnlineReservation,DeliveryOrder,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating,HighSatisfaction
51,1,74106,2,65.80537981561592,3,0,1,0,1,0,0,1,16.935790570502157,5,2,4,0
19,0,27363,3,93.46414651329052,1,2,7,0,1,0,0,0,44.318042204901545,1,4,3,0
25,1,30580,3,197.52039216896063,2,2,7,2,1,0,0,1,51.51607010754032,1,2,5,0
40,0,117841,0,186.769294061042,3,1,6,0,1,1,0,1,56.37740242061348,3,5,1,0
64,0,28420,1,100.5750393197362,3,1,1,2,0,1,0,1,15.325780615077756,4,4,1,1
47,0,118882,3,51.182801740141926,2,1,9,0,0,0,0,1,54.2022232622338,5,5,2,0
62,1,137673,1,86.14688538013783,2,0,7,0,1,1,0,0,59.959109959164046,1,4,4,0
43,1,94500,1,125.4633244591856,3,0,4,0,0,0,0,0,53.81130740485973,4,4,2,0
60,0,75810,1,133.3777616701358,1,0,2,1,0,0,1,1,24.98721628659949,2,3,1,0
20,0,112421,3,94.60947943642776,4,1,1,2,1,0,0,1,12.8756513143996,3,5,4,1
55,1,118250,1,192.33446249948867,1,1,7,2,0,0,1,0,27.536980013121447,5,5,4,1
27,0,94031,3,137.91738737365029,0,2,2,0,0,0,1,1,1.904982771435535,3,4,1,1
39,0,53426,2,133.3781622903457,3,1,5,1,1,1,0,1,37.73055228683874,3,4,3,0
40,0,75646,1,40.48937734447074,1,0,7,0,1,1,0,1,38.7484262913269,5,1,5,1
53,0,106476,3,189.7619745829672,2,2,3,2,0,0,1,0,8.397030570724553,5,3,1,1
33,1,84659,1,181.64799547325148,1,1,1,1,0,0,0,1,37.96975372209306,3,2,2,0
19,1,119996,1,94.30075920445586,0,1,3,0,0,0,0,0,9.228264318341497,2,4,5,0
67,0,87167,3,152.1367953967516,1,2,4,2,0,0,1,1,14.722728334475688,5,5,4,1
61,0,69799,3,67.87915120801345,0,1,5,2,0,0,1,1,24.70883880430413,3,4,2,1
34,1,23261,2,85.06737273074744,1,1,2,0,1,1,0,0,54.612687589025455,2,2,1,0
57,0,99346,3,70.34829667200688,0,0,3,1,0,0,1,1,14.211074158338684,4,2,2,1
41,1,23950,3,194.16530297447468,0,1,9,2,0,0,1,0,56.53651310178938,5,5,5,0
68,1,112192,3,62.300308674078806,4,2,8,0,0,1,1,1,41.81975087951522,5,5,5,1
28,1,69615,3,50.12980680270481,2,0,8,1,0,0,1,1,0.7088356291871944,5,5,5,1
33,1,45795,3,144.57860393253458,1,0,4,0,0,1,0,1,35.349421840818906,5,3,2,1
53,1,111904,1,100.07811967144862,1,0,4,2,1,1,0,1,28.21399203256538,4,4,2,1
29,1,67891,3,135.87259729519604,2,1,9,0,0,0,0,1,41.22063514582087,5,3,5,0
46,0,98046,2,127.61433641500332,1,1,4,1,0,1,0,1,19.843985390587072,3,4,3,0
67,0,102874,1,22.771395647027127,0,1,7,0,0,0,0,1,35.60318674129044,1,2,1,0
65,1,60717,0,66.35946150585394,4,0,1,1,0,0,1,1,50.45859134241695,2,3,2,0
61,0,26777,0,100.02876406197916,4,0,4,1,0,0,1,0,10.96746060047673,5,5,4,1
62,0,129492,1,106.48037379692173,1,1,8,2,0,0,1,0,12.067054979962306,2,4,5,0
29,1,102373,3,113.06887952884824,1,2,7,1,1,0,1,0,39.37221698110746,2,1,4,0
25,1,94123,3,127.01283171620106,0,0,6,2,0,0,1,1,10.206500838040276,4,4,2,1
44,1,67956,3,153.7706146764834,3,0,4,2,0,1,0,0,57.9171810012558,1,5,4,1
59,0,117887,3,190.6646284779587,0,1,4,1,1,1,0,0,55.46210638904709,3,1,1,1
57,0,79448,3,100.67484317094996,1,0,9,1,1,0,0,1,9.256491875117415,3,4,3,0
53,0,143280,1,75.87809208503012,3,0,8,0,0,0,0,1,55.313743758438,4,3,1,0
62,0,146013,0,134.8259099739942,4,0,6,2,0,0,0,1,25.79610596979041,4,1,4,1
35,1,111143,2,39.794432210860165,4,2,5,0,1,0,0,0,13.532128246541042,4,3,3,0
46,1,122931,0,112.2640430339068,0,2,9,2,1,0,0,1,7.106446144683574,2,2,5,0
54,0,64136,1,117.17747014196864,0,0,9,0,0,0,0,1,16.291742748657963,1,3,2,0
58,1,79037,1,144.99399837443818,4,2,8,2,1,0,0,1,33.61245850693695,5,3,4,0
22,1,121659,3,187.36948283263715,0,0,8,0,0,0,1,1,13.842779240091748,4,3,5,1
65,0,51043,3,187.9768523616427,4,1,1,1,0,1,0,1,57.48473800726117,5,3,4,1
49,1,69311,0,78.8226831281176,1,1,8,2,1,1,1,1,27.89391375517908,2,2,5,1
33,1,113459,3,87.48813881246244,2,2,1,2,0,1,0,0,10.750463328890682,4,4,4,1
36,0,41417,1,123.75577233883205,4,2,3,0,0,0,1,0,19.815008773740804,3,2,1,0
57,1,55138,3,49.22026882173958,1,1,9,2,1,0,0,0,5.558672208757924,5,3,5,0
46,1,60825,3,61.75276854685941,3,1,4,1,1,0,1,1,13.85899722086208,5,4,2,1
46,0,78259,3,86.40379933977407,1,0,4,1,0,0,1,1,27.6304887591311,5,1,3,1
24,0,39498,2,80.86541992217049,4,0,5,2,1,1,1,0,14.12777801099148,4,4,1,0
67,1,75950,3,42.1609181264004,4,2,3,2,1,1,0,1,39.9001420515366,1,3,2,0
35,1,54829,3,118.87564632795625,3,1,2,0,0,1,1,1,58.08679196468722,5,4,2,1
48,0,122266,3,122.52302096969194,3,0,4,2,0,1,0,1,31.844808787080904,1,5,1,1
40,0,75646,1,40.48937734447074,1,0,7,0,1,1,0,1,38.7484262913269,5,1,5,1
29,1,37774,1,23.48709312280983,3,2,9,2,0,0,0,1,28.39662557549452,5,1,3,0
27,0,44687,3,36.06496072652882,2,2,3,2,0,1,0,1,15.969415575410856,5,5,1,1
23,1,84982,3,94.53822338134528,3,1,3,1,1,1,1,1,1.8882545471534475,3,4,3,1
65,0,59454,1,154.50568630010832,3,1,4,0,1,0,1,0,24.2654783646157,3,5,4,0
31,0,121738,2,140.86525325622827,3,1,6,0,1,0,1,1,29.80595542758281,2,5,1,1
38,1,98194,3,60.08616117653544,4,0,4,1,0,0,1,1,11.732632719072182,1,4,3,1
49,1,25599,0,74.36868391667524,1,2,1,1,1,0,0,0,57.73952771039057,2,2,5,0
43,0,136185,3,131.64020888774843,0,1,6,1,0,1,0,0,14.406382360385958,5,3,2,0
25,0,112333,2,139.79824038243697,0,0,5,1,0,1,0,1,10.507310427403198,5,3,5,0
67,0,146922,3,102.2686783748412,2,0,6,2,0,1,0,0,22.528492453967345,2,1,5,0
50,0,85293,2,162.42137139186585,1,0,2,2,1,0,0,1,30.613793359312066,4,1,3,0
65,0,51043,3,187.9768523616427,4,1,1,1,0,1,0,1,57.48473800726117,5,3,4,1
49,0,42551,1,167.8143185314717,0,2,9,0,1,0,0,1,16.419927964037715,3,5,2,1
59,0,123325,3,63.93923953545973,1,1,4,1,1,1,0,1,2.6735927480409294,3,5,5,1
32,0,111779,1,57.25128870528998,1,2,1,0,0,0,0,0,12.699771420458363,4,3,4,1
27,0,94031,3,137.91738737365029,0,2,2,0,0,0,1,1,1.904982771435535,3,4,1,1
49,1,109746,3,186.9769765554202,4,2,8,0,1,0,0,1,21.701727256385,1,5,3,0
54,0,68477,1,70.30073095422229,0,1,8,0,1,0,1,0,52.60490751308457,2,4,3,0
27,0,94031,3,137.91738737365029,0,2,2,0,0,0,1,1,1.904982771435535,3,4,1,1
50,0,98241,3,109.80997679318747,0,2,7,2,0,0,1,1,46.91778463630005,2,4,4,1
18,1,72238,1,62.1203177288305,0,0,4,2,1,1,1,1,50.7946998477152,1,5,2,0
51,1,29246,3,84.17514935031039,4,2,2,0,0,0,0,0,42.70106797408678,2,3,1,0
66,0,89919,0,59.16874125649566,3,0,1,2,0,0,0,1,7.784940240717127,4,4,1,1
69,0,71808,3,140.8388472280615,0,0,3,0,1,0,0,1,10.129259207354144,5,5,4,1
22,0,129590,3,137.440806491426,0,1,8,1,0,1,0,1,36.67054547250982,4,5,4,1
48,1,134375,3,35.60818532113152,2,1,3,0,0,1,0,0,4.771248989117824,1,3,4,0
41,0,58819,2,192.3752544354358,2,2,4,0,0,1,0,1,51.92140470927689,4,4,5,0
42,1,139698,3,27.209196097341625,3,2,4,1,1,1,0,0,56.91804423497808,1,1,2,0
37,1,57889,3,143.15259488617747,1,0,5,0,1,0,1,1,54.843938689802975,1,2,4,0
32,1,70688,1,150.5816281517009,4,2,9,2,0,1,1,1,1.3740790404141157,4,4,5,1
59,0,66969,3,104.79813645627075,4,2,3,1,0,0,0,1,46.85168323676472,5,5,5,1
19,0,143152,3,14.930916930442146,4,1,5,2,1,0,1,1,1.3272325613263636,5,3,4,0
33,1,45795,3,144.57860393253458,1,0,4,0,0,1,0,1,35.349421840818906,5,3,2,1
42,1,120750,2,182.7114284691665,0,2,1,2,1,1,0,0,2.080186860877189,1,5,1,0
64,1,83708,1,35.66228094114958,2,2,9,2,1,0,0,0,17.760786799859048,3,2,5,0
19,0,130704,2,58.02165312180848,2,0,9,2,0,0,0,0,18.53291879807179,4,1,1,1
31,1,81176,1,175.60797172200816,4,2,4,2,1,1,0,0,15.952505407965209,5,1,4,0
66,0,89919,0,59.16874125649566,3,0,1,2,0,0,0,1,7.784940240717127,4,4,1,1
50,0,98241,3,109.80997679318747,0,2,7,2,0,0,1,1,46.91778463630005,2,4,4,1
66,0,47076,3,45.00032127852065,2,1,7,2,0,1,0,1,54.8598160392326,1,5,5,0
39,0,88776,3,86.67961392905637,1,0,4,1,0,0,1,0,22.18299767552825,4,5,3,1
60,0,59793,3,158.68347022185887,0,1,8,1,0,0,0,1,8.102969190086826,1,2,4,0
20,1,97382,1,93.709085752126,3,0,6,0,0,0,0,0,44.33416927696289,2,5,3,0
57,0,99346,3,70.34829667200688,0,0,3,1,0,0,1,1,14.211074158338684,4,2,2,1
20,1,50299,1,33.764266644545344,2,2,3,2,1,1,1,1,10.673325995643538,1,1,5,0
26,1,124503,1,54.2515072034645,4,2,3,0,1,0,0,0,24.02855201066397,4,2,5,0
30,1,135575,3,136.3716092239128,3,0,3,1,1,0,0,1,13.641005727590818,4,4,4,1
20,0,129285,3,134.605580787091,0,1,7,1,1,0,0,1,54.98035976202432,3,4,1,0
66,0,105149,2,159.32115303664062,4,2,3,2,1,0,0,1,54.10296267833252,1,3,3,0
35,1,52586,3,137.45706687314652,3,1,8,0,1,0,1,1,37.56982465842933,5,2,3,0
20,0,27928,2,145.24833317905146,3,1,2,0,0,0,0,0,48.10977170491525,5,3,3,0
45,0,23533,3,144.20027892085625,3,2,9,2,0,0,1,0,7.795941078853046,5,2,4,0
49,0,20012,3,158.63869643815414,3,1,5,1,0,0,1,1,17.19321849537098,2,3,5,0
40,1,37366,1,29.810855379637392,1,2,7,1,1,0,1,0,29.614095756995475,3,2,4,0
59,0,123325,3,63.93923953545973,1,1,4,1,1,1,0,1,2.6735927480409294,3,5,5,1
21,1,42065,2,95.18573821315036,0,0,2,2,0,1,1,1,15.318195445575762,4,2,1,1
41,1,62402,3,145.13634222587743,4,1,9,2,1,0,0,1,41.33325707955324,5,1,5,0
59,0,95332,1,150.1839663227358,0,1,9,2,0,1,1,0,15.22211186381494,5,4,3,1
59,1,120681,1,182.4289298714216,1,2,1,2,1,0,1,1,14.469958961030317,3,2,5,1
36,1,94510,2,120.27094845751628,2,0,7,2,1,1,0,0,48.32593552524729,2,3,2,0
64,0,142155,3,111.82092400856784,2,2,2,0,1,0,0,0,44.91003063877648,4,2,3,0
50,1,106183,0,156.57272629812334,1,1,3,0,0,0,1,0,51.75270965958824,4,2,2,0
67,1,47731,2,58.0696988835766,0,1,2,2,0,1,1,1,6.428324721310165,4,4,1,1
21,0,60804,3,41.61750715763591,2,0,3,2,1,0,0,0,31.500863986234304,3,4,1,0
54,1,85802,3,36.76768544980207,2,1,4,1,0,1,0,1,40.70653053030596,4,4,1,1
30,0,81382,2,66.4179361506895,1,0,8,0,1,0,0,1,40.660476780450296,1,1,3,0
42,1,67826,1,76.92388842099817,4,2,3,2,1,1,0,1,10.183711939248226,5,3,1,0
23,1,141865,2,51.77348953504277,3,1,8,0,0,1,0,1,38.694987107613215,4,2,3,0
61,0,69799,3,67.87915120801345,0,1,5,2,0,0,1,1,24.70883880430413,3,4,2,1
65,0,92930,2,144.4566677704111,3,2,3,2,1,0,0,0,42.00528823454172,1,2,2,0
36,1,139374,3,47.189129602666746,3,1,7,0,1,0,1,0,54.15838010267839,3,1,4,1
25,0,112619,3,148.56774606047935,0,0,6,1,0,0,0,0,28.369105415462293,4,4,5,0
38,1,69705,2,44.27360536824927,3,0,9,2,0,0,0,0,33.431583675079565,5,5,2,0
69,0,71808,3,140.8388472280615,0,0,3,0,1,0,0,1,10.129259207354144,5,5,4,1
50,1,82562,1,160.58518349362234,0,2,1,2,1,1,1,0,53.47543630847147,3,2,3,0
46,0,144655,2,136.8787532095253,1,0,2,1,0,1,1,1,35.89832121764842,5,5,1,1
68,1,126601,3,72.20481494271507,0,0,4,2,0,0,0,1,25.75292169280201,2,4,4,1
28,0,63728,3,59.695380542217386,3,2,5,0,0,0,0,0,25.42107384359913,1,2,3,1
65,0,34010,3,164.09565425797908,2,2,4,2,0,0,0,1,8.492395624132671,4,4,5,1
38,0,35769,2,72.33102213354323,3,2,1,2,0,0,0,1,45.12460561129807,5,3,5,0
57,0,101362,3,97.5038811162247,4,2,3,2,1,1,0,1,25.24771261569699,1,1,1,0
57,0,52402,3,170.52104612320568,3,1,2,2,0,0,1,0,0.7901403424143827,4,5,1,1
52,0,138749,3,60.4588578361377,1,2,4,2,0,0,1,0,43.35451573768649,5,5,1,1
38,0,103102,3,121.36654042836255,1,2,6,2,0,0,0,1,10.95986923034247,2,4,1,1
47,0,111573,1,67.99235342188125,4,0,2,1,0,0,1,1,12.831294929213684,2,3,3,0
69,0,96870,1,108.85875121985175,1,2,3,0,0,0,1,0,32.80896004960336,3,1,2,0
50,1,84448,3,164.64416387229207,0,0,3,2,1,0,1,0,57.14512614153704,3,2,5,0
67,0,40132,1,137.0001440429446,2,2,2,2,1,0,1,0,15.58497656468562,2,3,4,0
48,0,117176,2,91.61688453456838,2,1,3,2,1,0,1,0,59.7036193915641,3,4,1,0
54,0,101247,0,79.79968019134273,4,2,1,1,1,0,0,0,7.745319194387208,1,2,2,0
57,0,52402,3,170.52104612320568,3,1,2,2,0,0,1,0,0.7901403424143827,4,5,1,1
57,1,115715,1,61.00825865220995,1,1,1,0,0,0,1,1,4.718618032851769,2,1,5,0
23,1,55478,0,84.90321104282047,1,1,5,1,0,0,1,1,53.10539685305609,5,3,3,0
47,1,90569,3,101.31205300968622,2,2,9,1,1,0,1,0,55.700436575943,3,5,1,0
66,1,46718,1,106.73340403514884,4,2,1,0,1,1,0,0,43.68854346597047,5,4,5,0
66,0,89919,0,59.16874125649566,3,0,1,2,0,0,0,1,7.784940240717127,4,4,1,1
26,1,109303,0,141.18643071469646,0,2,3,0,1,0,0,0,12.29116345345587,3,3,5,0
69,0,35930,3,53.30349882133184,4,1,3,0,0,0,0,0,11.67745929361091,1,5,3,0
45,1,97250,3,103.34738992325772,0,0,7,1,0,1,1,1,10.882510633252776,1,5,5,1
32,0,96451,3,134.18519879028514,3,1,5,0,1,1,0,1,30.430459386044284,3,4,2,0
61,0,86904,3,149.79827689026806,2,2,4,0,0,0,0,0,3.717592130510321,4,2,5,0
20,1,132699,3,137.65176541020284,4,2,1,2,0,0,1,0,46.94965327974454,5,1,4,1
34,0,133211,1,136.01982327282818,4,2,9,1,0,0,0,1,53.43051036965515,2,5,2,0
69,1,141562,2,108.03756126967826,3,1,3,2,0,0,1,1,42.37953309780702,1,1,1,0
66,0,75130,2,128.32894508090777,2,1,2,1,0,0,1,0,28.712434106432955,2,2,1,1
51,0,91956,0,162.3817319142283,3,2,6,1,1,0,0,1,6.089911053138726,2,4,4,0
57,0,52402,3,170.52104612320568,3,1,2,2,0,0,1,0,0.7901403424143827,4,5,1,1
18,1,21073,1,83.19003169592992,2,2,2,1,0,1,1,1,24.234872374241988,5,1,5,1
56,0,60299,3,77.52249628119871,4,2,1,2,0,0,1,1,19.83409397410555,2,1,5,1
28,1,119993,2,92.73557675602277,2,0,1,1,1,0,1,1,10.364436693870385,1,4,4,0
58,1,30928,2,16.076617619576073,3,1,2,0,0,0,0,1,15.811120196485447,4,5,5,0
33,0,119581,1,121.73341050634112,2,1,3,1,0,1,1,1,15.011897579806703,1,4,1,1
27,1,124945,2,80.84738711063952,3,2,5,1,0,0,1,1,19.59420907073004,4,1,4,0
50,0,44428,2,187.64583251054344,1,2,4,0,1,0,1,1,3.682724780998079,1,2,5,0
39,0,105672,3,107.99912356636948,0,0,9,1,0,0,0,1,28.04575955086089,5,5,4,1
65,1,143137,1,178.08296444604133,1,0,8,2,1,0,1,1,56.57220739739039,5,5,1,0
35,0,95984,1,26.1585033048524,2,0,2,2,0,0,1,1,27.500170859859104,1,4,4,1
22,1,73912,2,198.4449157190955,2,2,3,2,0,0,0,1,3.233575570667917,1,5,4,1
59,0,95332,1,150.1839663227358,0,1,9,2,0,1,1,0,15.22211186381494,5,4,3,1
23,1,80653,0,135.03561567563656,4,0,4,2,1,0,1,1,41.94581409278226,4,5,5,1
34,1,28019,1,178.09542825350078,4,2,2,1,1,0,1,0,21.16221310420535,3,3,4,0
65,0,51043,3,187.9768523616427,4,1,1,1,0,1,0,1,57.48473800726117,5,3,4,1
48,0,138169,1,192.3863862944592,1,1,5,0,0,0,0,1,40.1067234303811,5,2,2,1
65,0,34010,3,164.09565425797908,2,2,4,2,0,0,0,1,8.492395624132671,4,4,5,1
47,1,42046,2,10.373267537394955,3,1,2,2,0,0,0,0,12.823679145838812,5,4,5,0
65,1,35520,1,81.4998133360547,2,2,7,1,1,0,1,1,14.14031475677907,1,1,2,1
56,1,99022,1,156.1174690546518,0,2,1,0,1,1,1,0,11.52363816782201,5,2,2,0
28,0,39440,0,46.015127892293954,4,0,1,1,0,1,1,1,2.987387249222353,3,5,4,1
53,0,136825,1,79.78008201556801,3,0,3,0,0,0,0,0,29.112741124033267,5,2,2,1
60,1,51305,3,65.64814341173147,2,0,3,2,0,0,0,1,39.97128011403887,1,4,5,1
28,0,63728,3,59.695380542217386,3,2,5,0,0,0,0,0,25.42107384359913,1,2,3,1
64,1,68238,3,77.13059392465505,2,0,1,0,1,1,0,1,23.252417686959504,2,4,4,1
23,1,84982,3,94.53822338134528,3,1,3,1,1,1,1,1,1.8882545471534475,3,4,3,1
27,1,89716,2,68.14488394108396,0,1,7,2,1,0,0,1,14.711646700285002,2,5,4,1
50,1,146080,2,12.879643783948431,2,1,7,0,0,0,1,0,30.705601810821538,5,1,2,0
22,0,60978,1,20.597347215301376,1,1,2,2,1,0,0,1,31.78807080449472,2,2,1,0
47,0,141099,1,136.1746629072999,0,0,7,2,1,0,0,1,54.4785385596646,5,3,2,0
19,0,63136,1,16.50312405911477,1,1,3,1,1,1,0,1,26.933251547629258,2,3,5,0
65,1,35520,1,81.4998133360547,2,2,7,1,1,0,1,1,14.14031475677907,1,1,2,1
65,0,34010,3,164.09565425797908,2,2,4,2,0,0,0,1,8.492395624132671,4,4,5,1
57,0,99346,3,70.34829667200688,0,0,3,1,0,0,1,1,14.211074158338684,4,2,2,1
49,0,71896,1,149.85298503589567,0,1,2,1,0,0,0,1,10.207720349581692,2,5,2,0
57,0,103508,2,38.79947236697655,1,0,3,2,0,1,0,0,10.620332711212727,3,1,1,0
57,1,99335,2,131.08913528864346,2,2,3,0,1,1,0,1,12.310389909719929,4,1,4,0
47,1,31938,3,43.849076099752345,3,2,3,0,1,1,1,0,59.7074067773838,2,4,5,1
18,0,88711,3,168.29056314968932,3,1,9,2,1,1,0,1,12.75702476072659,1,5,5,1
19,0,130704,2,58.02165312180848,2,0,9,2,0,0,0,0,18.53291879807179,4,1,1,1
66,0,122955,2,120.64087340665436,2,1,7,1,1,0,0,1,15.709179744904848,4,3,3,0
63,0,126805,2,103.5440107097199,2,0,6,0,0,1,0,1,53.6731985008436,4,4,3,0
20,1,132699,3,137.65176541020284,4,2,1,2,0,0,1,0,46.94965327974454,5,1,4,1
53,1,99064,3,46.92439381567322,2,2,8,1,0,0,1,0,7.345461975500658,1,1,5,0
21,1,57727,3,184.02815592607936,0,1,6,0,1,1,0,1,16.532615617248975,1,1,5,1
51,1,89947,3,189.23895697660265,1,1,6,2,0,1,0,0,7.180355695929272,5,5,5,1
27,1,76018,1,110.78412039052334,2,2,2,2,0,0,1,0,31.203962882182555,2,2,1,0
48,0,122266,3,122.52302096969194,3,0,4,2,0,1,0,1,31.844808787080904,1,5,1,1
49,1,75161,3,98.72512019701442,2,2,8,0,0,1,1,1,12.029118622709316,4,2,5,1
19,1,43623,2,115.4086222968233,0,1,1,1,0,0,0,0,57.524294460377256,5,5,3,0
42,1,101871,1,169.0919356280294,2,1,1,1,1,0,0,1,49.39164665566668,5,2,1,0
33,1,36674,3,23.644216000318465,3,0,8,1,1,1,0,1,27.58799495218137,2,2,2,0
43,1,144992,2,80.0714142718904,4,1,7,0,0,1,0,0,17.590568932735138,3,3,4,0
40,0,75646,1,40.48937734447074,1,0,7,0,1,1,0,1,38.7484262913269,5,1,5,1
36,1,26267,2,79.34317286656453,4,0,1,0,1,0,1,0,15.32830136982252,5,1,4,0
39,1,131429,3,72.40270391378934,1,0,7,2,1,0,1,0,44.383852350399565,3,2,4,0
29,0,126886,2,131.66634048862474,0,1,9,2,0,0,0,1,45.49828656214398,5,4,4,0
37,1,71616,0,184.375578941634,3,2,2,2,1,1,0,1,36.78206426299735,4,4,4,1
26,0,30427,1,13.00218481296463,2,2,3,2,1,1,1,0,44.36187238948166,3,3,4,1
37,1,56810,3,173.95151826472514,1,0,2,2,1,0,0,0,21.52934733090408,5,5,4,1
50,1,28327,1,192.01887680254208,2,1,2,1,1,0,0,0,35.601365675621686,2,5,3,0
33,1,45795,3,144.57860393253458,1,0,4,0,0,1,0,1,35.349421840818906,5,3,2,1
66,0,117916,3,33.6780720777308,4,1,2,2,0,1,1,1,8.847471839238105,2,1,1,1
39,0,88776,3,86.67961392905637,1,0,4,1,0,0,1,0,22.18299767552825,4,5,3,1
57,1,34584,0,127.33324814438672,3,0,5,1,1,1,0,1,25.12585248491176,1,1,5,0
59,0,123325,3,63.93923953545973,1,1,4,1,1,1,0,1,2.6735927480409294,3,5,5,1
40,0,49732,1,120.00446056144531,0,1,4,1,1,0,0,0,22.79358321051642,3,3,3,0
52,1,22243,2,190.9125618456231,3,1,3,1,0,1,0,1,37.06861886035063,2,5,3,0
59,1,104397,2,75.57806677530372,3,2,5,0,0,1,0,1,2.923408455798242,2,2,4,1
65,0,75623,3,132.16704350539163,2,0,8,2,1,1,0,1,7.651989072637349,4,5,5,1
33,1,95965,1,23.4245864719482,0,0,1,2,0,0,0,0,44.58358808030987,3,3,3,0
35,0,120153,3,59.145511067017424,1,2,8,0,0,0,0,0,6.043424578028769,4,4,5,0
42,0,105448,0,45.02297151439418,4,2,1,1,0,0,0,1,53.951306582926776,5,2,5,0
26,0,88164,1,128.34448023701614,4,1,7,1,1,0,0,1,22.491714938047,4,1,5,0
33,0,69243,2,87.35649632220927,0,0,6,0,1,0,0,0,24.90544723052662,2,5,5,0
49,1,22520,2,77.56041764332022,2,1,7,0,1,0,0,1,41.381354231307775,5,4,3,0
35,0,122302,0,150.23307980385354,4,2,6,0,0,1,0,0,23.24928344539999,5,4,4,1
22,1,123970,1,119.97633956856282,4,2,3,2,1,1,0,0,8.040690053338936,3,1,3,1
54,0,85775,3,110.77375737244844,4,1,6,1,0,0,0,0,25.26410442958916,2,5,1,0
46,0,78259,3,86.40379933977407,1,0,4,1,0,0,1,1,27.6304887591311,5,1,3,1
43,1,139813,3,132.17602953048572,3,1,3,2,0,1,1,0,3.690073451489717,2,2,2,1
34,0,122001,3,41.63376284987213,3,2,7,0,0,0,1,0,16.538431960325404,5,3,5,0
27,0,44687,3,36.06496072652882,2,2,3,2,0,1,0,1,15.969415575410856,5,5,1,1
47,1,103678,2,92.090775226451,3,0,6,2,0,1,0,0,20.13890505167676,3,1,4,1
48,0,87299,3,36.0168324811074,4,0,9,1,0,1,1,0,49.89403912342398,1,5,3,0
48,0,122266,3,122.52302096969194,3,0,4,2,0,1,0,1,31.844808787080904,1,5,1,1
45,1,97250,3,103.34738992325772,0,0,7,1,0,1,1,1,10.882510633252776,1,5,5,1
48,0,107653,3,131.7931676586348,0,1,7,2,1,1,1,1,25.8205055023933,1,5,4,1
42,1,112376,1,99.4738874219653,2,2,9,2,1,0,1,1,47.66021794710802,5,3,5,0
44,0,60824,3,143.34070635305335,4,1,4,2,1,0,1,1,43.95543940858408,1,1,5,0
